Hochdeutsch,IPA_Dialekt,Rang,IBM_Prob,Expected_Count,Hard_Count,Sentence_Support,Score,Avg_Position_Distance,HD_Gesamt_Haeufigkeit,IPA_Gesamt_Haeufigkeit
war,ɪʃ,2,0.343598,8.9938,10,10,0.790951,0.0671,89,50
nicht,nɛt,1,0.289058,13.8326,16,16,0.779538,0.0728,322,20
letzten,lɛtʃtə,1,0.48393,4.0,4,4,0.778852,0.0746,19,4
seit,ziː,1,0.436245,4.8178,5,5,0.768197,0.0451,28,55
genau,knaʊ,1,0.474026,3.9948,4,4,0.762421,0.042,15,4
waren,zɪnt,1,0.435358,4.6244,5,5,0.751917,0.1072,27,59
ist,ɪʃ,3,0.230283,23.7918,28,27,0.739327,0.0454,409,50
zudem,tsuːdɛm,1,0.465518,3.8937,4,4,0.739217,0.0161,11,5
worden,vɔɾdə,1,0.456777,3.9857,4,4,0.733849,0.0115,27,19
alle,alɪ,1,0.463015,3.8693,4,4,0.732932,0.0651,25,4
gemacht,gmaxt,1,0.439817,4.254,6,6,0.729649,0.0457,14,10
diese,diːɾ,2,0.297064,10.4994,12,12,0.725519,0.0318,87,36
noch,nɔɾ,1,0.352594,6.7944,7,7,0.724019,0.0643,120,19
dort,dœt,1,0.448395,3.9654,4,4,0.718549,0.0277,25,4
machen,maxə,1,0.415149,4.5754,5,5,0.71338,0.0261,20,10
davon,foː,1,0.401108,4.8782,5,5,0.710466,0.0248,22,25
wäre,vɛɾ,1,0.4339,3.9842,4,4,0.696964,0.0402,18,20
dem,deːm,1,0.315204,8.0258,8,8,0.693477,0.0653,116,35
eine,ɛn,2,0.30987,7.7015,8,8,0.670404,0.1048,196,71
von,fɔr,1,0.316525,7.2105,8,7,0.666415,0.1019,140,47
das,dɛs,3,0.213143,21.5699,24,24,0.664285,0.078,491,95
wieder,viːdɛɾ,1,0.392918,4.2884,5,5,0.654413,0.0668,39,7
also,zoː,1,0.394574,4.1737,5,4,0.648515,0.1035,18,31
sein,siː,2,0.369515,4.7316,5,5,0.645169,0.0101,63,10
trotzdem,dɛm,1,0.411062,3.7112,4,4,0.637121,0.0673,14,30
damit,mɪt,1,0.359394,4.8439,5,5,0.634474,0.1096,26,58
menschen,mɛntʃɛ,1,0.399913,3.8517,4,4,0.631594,0.0679,22,4
fall,fal,1,0.411059,3.6315,4,4,0.630101,0.0477,14,5
gut,guːɾt,1,0.392883,3.9576,4,4,0.628975,0.0306,32,6
was,vas,1,0.327069,5.7487,6,6,0.624487,0.0333,32,8
durch,dɔx,1,0.435038,3.1935,4,4,0.62364,0.0284,20,26
schweiz,ʃviːts,1,0.354191,4.7813,5,5,0.621472,0.0745,20,5
frage,frɑːk,1,0.384226,3.9695,4,4,0.616035,0.0584,17,4
wieder,dɛɾ,2,0.377507,4.1004,5,5,0.615083,0.1069,39,284
sie,ɪn,2,0.239639,11.8375,14,14,0.61165,0.0994,193,324
auf,dɛɾ,2,0.26479,8.5712,7,7,0.598097,0.1237,143,284
um,ʊnt,2,0.311554,5.5042,5,5,0.58337,0.0541,55,169
wurde,ɪç,2,0.270689,7.5052,8,8,0.579456,0.0852,73,149
über,yːbɜ,1,0.359107,3.8881,4,4,0.569831,0.044,64,4
nicht,nøːt,2,0.226457,10.8301,12,12,0.559496,0.041,322,13
sind,ɪn,2,0.230204,10.1454,16,15,0.555028,0.0835,146,324
liegt,liːt,1,0.349824,3.8617,4,4,0.553208,0.0571,16,6
der,ɪn,2,0.168942,24.3311,22,21,0.546026,0.1535,687,324
dieses,deːm,1,0.342895,3.8166,5,5,0.539058,0.0377,33,35
von,fɔn,2,0.27018,6.1987,8,7,0.533307,0.0636,140,54
jahr,aɪ,1,0.345407,3.6309,4,4,0.529419,0.1343,42,22
möchte,mɛçt,1,0.308177,3.9422,4,4,0.492411,0.0219,24,5
jetzt,jɛtst,1,0.282407,4.6966,5,5,0.491353,0.0518,38,10
heute,hyːd,1,0.297375,4.1382,5,5,0.486715,0.0353,41,5
diesem,dɛm,1,0.328154,3.3205,4,4,0.480215,0.0397,36,30
einer,fɔn,1,0.328241,3.3086,4,4,0.47943,0.0492,56,54
nun,jɛtst,1,0.292562,3.6713,4,4,0.450966,0.073,37,10
dem,ɛm,2,0.232608,5.9475,7,7,0.450881,0.063,116,31
man,mɛ,1,0.271878,3.9322,4,4,0.433859,0.0151,104,7
dem,dɛm,3,0.224964,5.8099,6,6,0.431567,0.0442,116,30
sei,ɪs,1,0.300175,3.1945,4,4,0.430383,0.0952,40,91
an,aɪn,1,0.28683,3.3433,4,4,0.421249,0.1552,89,31
heute,hyːt,2,0.271039,3.7206,4,4,0.420637,0.048,41,6
den,deː,2,0.174995,9.6229,12,12,0.413515,0.0748,256,81
uns,ɪs,2,0.235744,4.7083,6,6,0.410646,0.0474,57,91
nun,jɛts,2,0.274275,3.4546,4,4,0.409752,0.0176,37,11
nicht,nøt,3,0.179301,8.605,10,10,0.405628,0.0388,322,14
aber,ɑːbɑː,1,0.213802,5.6451,6,6,0.404914,0.0707,166,7
dann,deːn,2,0.220212,4.6073,5,5,0.379661,0.0497,51,16
wir,miː,3,0.157591,9.5377,12,12,0.37112,0.041,229,31
gibt,giːt,1,0.249717,3.4077,4,4,0.370421,0.0287,33,5
doch,dɑːx,2,0.202983,5.1848,6,6,0.369856,0.0196,67,11
jetzt,ɪt,2,0.22441,3.7442,4,4,0.34939,0.0109,38,44
dabei,deːbiː,2,0.208312,3.943,4,4,0.332878,0.0329,35,4
muss,mʊs,1,0.218279,3.5698,4,4,0.331669,0.0774,47,5
sie,tsiː,3,0.146308,7.3576,8,8,0.310635,0.0278,193,17
jetzt,jɛts,3,0.204612,3.4104,4,4,0.30364,0.0075,38,11
dieser,deː,2,0.201509,3.4057,4,4,0.298819,0.0021,66,81
dies,das,1,0.211042,3.1102,4,4,0.298303,0.0579,43,70
im,ɪn,2,0.118105,10.4798,12,12,0.288246,0.1038,199,324
des,fɔn,2,0.147197,5.7727,6,6,0.281572,0.0782,84,54
dabei,dɛɾ,3,0.182675,3.4932,4,4,0.27448,0.0354,35,284
alles,ɑːl,2,0.188862,3.2658,5,4,0.273969,0.084,36,15
auf,uːf,3,0.152184,4.9128,5,5,0.27045,0.0277,143,9
von,foː,3,0.1693,3.9078,5,5,0.269328,0.0503,140,25
wurde,ɪs,3,0.155255,4.3932,6,6,0.261626,0.0565,73,91
noch,noː,2,0.166779,3.2298,4,4,0.24052,0.0614,120,6
mit,miːt,2,0.117152,6.1754,4,4,0.230867,0.0338,160,17
so,soː,2,0.13354,3.7616,4,4,0.2084,0.0345,90,7
am,ɑm,2,0.139536,3.0655,4,4,0.195703,0.0381,92,5
des,fʊm,3,0.1144,4.4088,4,4,0.193109,0.0939,84,13
haben,hɛnd,2,0.090558,3.0293,4,4,0.1262,0.0204,103,9
